Label,statement,subjects,speaker_name,speaker_job,speaker_state,speaker_affiliation,statement_context
false,Says the oil industry subsidies that President Barack Obama is attacking dont exist,energy$taxes,bill-johnson,U.S. representative,Ohio,republican,a news conference
barely-true,"Says Rick Scott cut education by over a billion dollars, meaning thousands of teachers lost their jobs and class sizes went up.",children$education$message-machine-2014$state-budget,charlie-crist,,Florida,democrat,a TV ad
half-true,Democrats rang up a $1.42 trillion budget deficit in 2009 the single largest in American history.,economy$federal-budget,freedom-project,,,republican,a press release
half-true,"Paul Ryans Medicare plan could raise future retirees costs more than $6,000.",corrections-and-updates$health-care$medicare$message-machine-2012,barack-obama,President,Illinois,democrat,a campaign commercial
mostly-true,Slot machines in Miami-Dade and Broward counties have generated 20 percent of the promised $500 million per year for schools.,education$gambling,no-casinos,,Florida,none,a statement on their website
barely-true,Women pay 48 percent more for health insurance.,health-care,louise-slaughter,,New York,democrat,a statement on the House floor
false,Says Obama is only president in history who has deliberately removed the words endowed by their Creator when referring to the Declaration of Independence.,history$message-machine-2012,government-not-god-pac,,,none,a newspaper ad
mostly-true,"The average 401(k) in America of a person whos 60 years old is under $100,000.",economy$labor$retirement$state-finances,gina-raimondo,venture capital company founder,Rhode Island,democrat,an appearance on 10 News Conference
mostly-true,Eliminating earmarks does not reduce spending.,federal-budget,richard-lugar,U.S. Senator,Indiana,republican,a prepared statement
mostly-true,Says Republicans have declared that theyre going to convert the Medicare program into a voucher program.,federal-budget$health-care$medicare,upendra-chivukula,State Assemblyman,New Jersey,democrat,an interview on NJToday
mostly-true,Human trafficking is the third-biggest criminal enterprise in the world.,crime$human-rights,amy-klobuchar,U.S. senator,Minnesota,democrat,a speech at the Democratic National Convention
half-true,David Perdue proposes rolling back the clock on womens health care.,health-care,georgians-together,PAC,Georgia ,democrat,television attack ad
mostly-true,The University of Wisconsin System is larger than any business in the state of Wisconsin.,state-budget,dale-kooyenga,State Representative,Wisconsin,republican,a radio interview
mostly-true,The United States is the only advanced country on Earth that doesnt guarantee paid maternity leave to our workers.,jobs$women$workers,barack-obama,President,Illinois,democrat,the State of the Union address
true,Sen. Obama has never taken on his party leaders on a single major issue.,candidates-biography,john-mccain,U.S. senator,Arizona,republican,"Nashville, Tenn."
half-true,Says U.S. Sen. Bill Nelson voted with the Democrats in Congress nearly 95 percent of the time.,pundits$voting-record,sean-hannity,Radio/TV host,,none,a TV interview with U.S. Connie Mack
barely-true,"Research shows that a vast majority of arriving immigrants today come here because they believe that government is the source of prosperity, and thats what they support.",immigration$pundits,rush-limbaugh,Radio host,,none,a radio interview
false,"Says We do about 300 investigations a year into housing discrimination and in recent years have put about $150,000 of damages into the pockets of individuals who have been treated unfairly.",civil-rights$housing,brad-avakian,,,state-official,a radio interview
false,"All of Texas is conservative, except a little bit of Austin.",polls$states,sean-hannity,Radio/TV host,,none,while interviewing Donald Trump in Austin
half-true,Says taxes were raised 115 times in the eight years before I became governor and those increases were part of a path that led to wealth and jobs and people leaving our state.,taxes,chris-christie,Governor of New Jersey,New Jersey,republican,a speech at the Republican National Convention in Tampa
extremely-false,Says two-thirds of groups targeted for IRS scrutiny were not conservative.,taxes,progress-texas,,Texas,none,a tweet
true,Says about 25 Texas cities and 39 states have banned texting while driving.,public-safety$transportation,tom-craddick,Businessman,Texas,republican,a press release.
mostly-true,Women of childbearing age spend 68 percent more in out-of-pocket health care costs than men.,health-care$women,ruth-bader-ginsburg,Associate Justice of the Supreme Court,,none,a dissenting opinion in Burwell vs. Hobby Lobby
mostly-true,"(Koch Industries) is among the worst in toxic air pollution in the entire United States ... and churns out more climate-changing greenhouse gases than oil giants Chevron, Shell and Valero.",environment,harry-reid,Senate Democratic Leader,Nevada,democrat,remarks on the Senate floor
true,"When I served as City Commissioner, we made great strides we successfully fought for, and won, adding women and people of color to the Fire Bureau.",diversity,charlie-hales,"Senior vice president, HDR Engineering",Oregon,none,Posted at charliehales.com 
false,At least a quarter of those apprehended at the border have criminal records.,crime$immigration,david-dewhurst,Lieutenant governor,Texas,republican,a news story
mostly-true,Ken Bucks (District Attorneys) office? His spending skyrocketed by 40 percent.,crime$message-machine$states,jane-norton,,Colorado,republican,a television ad
extremely-false,Today gasoline hit $6 a gallon in Florida.,energy$gas-prices$tourism,ron-paul,U.S. representative,Texas,republican,a debate in Arizona
mostly-true,"Andrew Jackson was the last president who actually balanced the federal budget, where we had no national debt.",debt$deficit$federal-budget$history,ben-carson,,,republican,a Fox Business interview
barely-true,Women account for 92.3 percent of the jobs lost under Obama.,corrections-and-updates$jobs$women,mitt-romney,Former governor,Massachusetts,republican,Mitt Romney's website
barely-true,Says Mitt Romney belittled middle-class tax cuts as nothing more than little Band-Aids.,taxes,florida-democratic-party,,Florida,democrat,a news release
true,We send a billion dollars to foreign countries every day because of our addiction to foreign oil.,energy,barack-obama,President,Illinois,democrat,"a debate in Austin, Texas."
extremely-false,Illegal aliens cost the state of Rhode Island $400 million a year.,census$crime$education$health-care$immigration$state-budget$taxes,terry-gorman,"President, Rhode Islanders for Immigration Law Enforcement",Rhode Island,newsmaker,a radio interview
barely-true,Says he was the only Republican candidate at a prior debate who said lower-income workers were being hurt by the economy.,economy,mike-huckabee,author,Arkansas,republican,a debate in Boca Raton.
barely-true,"These steps (a middle-class tax cut, national health care plan, foreclosure prevention fund, Social Security fix and more) are all paid for.",federal-budget,barack-obama,President,Illinois,democrat,"Flint, Mich."
mostly-true,I've seen (life) from the factory floor when I was working the graveyard shift ...and I'd be ankle-deep in water at the Murray Ohio bicycle plant where I was running a machine that was so loud I couldn't hear myself yell if I wanted to.,candidates-biography,fred-thompson,Actor,Tennessee,republican,"Des Moines, Iowa"
mostly-true,"Bill Richardson passed the first law in the nation giving National Guard soldiers $400,000 in life insurance.",military,bill-richardson,Governor,New Mexico,democrat,a TV ad.
extremely-false,The ACLU has filed a suit to end prayer from the military completely.,military$religion,chain-email,,,none,a chain email
true,"Replacing 100,000 old toilets with water-efficient models has saved 2.4 million gallons of water every day.",environment$water,metropolitan-north-georgia-water-planning-district,,,none,a press release
barely-true,"China has total control, just about, of North Korea.",foreign-policy$nuclear,donald-trump,President-Elect,New York,republican,"a Republican presidential debate in North Charleston, S.C."
barely-true,"It was Hillary Clinton who left Americans in harms way in Benghazi and after four Americans fell said, What difference at this point does it make?",candidates-biography,mike-pence,Governor,Indiana,republican,the Republican national convention
barely-true,"Says the Department of Homeland Security has ordered enough rounds of .40 caliber ammunition to kill every man, woman and child in the United States, possibly to combat massive civil unrest or an invasion by a foreign power.",homeland-security$military,chain-email,,,none,a chain email forwarded by a reader.
extremely-false,"Pope Francis uses a modest compact car to get around, while Creflo Dollar drives an expensive sports car.",religion,viral-image,,,none,Facebook posts
true,"Currently, we're at 36 percent of our children born out of wedlock.",families,sam-brownback,U.S. senator,Kansas,republican,"a debate in Durham, N.H."
true,"At the moment, energy companies spend 0.25 percent on RD.",corporations$energy$oil-spill$pundits$science$technology,katrina-vanden-heuvel,,,none,a roundtable discussion on ABC's 'This Week'
half-true,"When Mitt Romney was governor, Massachusetts lost 40,000 manufacturing jobs, a rate twice the national average, and fell to 47th in job creation, fourth from the bottom.",economy$jobs,barack-obama,President,Illinois,democrat,"campaign ad “We’ve heard it all before,” airing in New Hampshire and around the U.S"
true,AIG said they were giving $57 million (in retention payments) to people who were being terminated.,economy,elijah-cummings,U.S. Representativej,Maryland,democrat,in a TV interview
false,"West has raised $2 million from those that would leave our beaches in ruins, end Social Security and Medicare, and give corporations free reign.",campaign-finance$corporations$medicare$oil-spill$social-security,ron-klein,,Florida,democrat,a fundraising e-mail
half-true,Says the largest tax increase in American history is set to occur on January 1st unless President Obama and Congress can come to an agreement.,history$taxes,francisco-quico-canseco,U.S. House member,Texas,republican,an email blast
half-true,"Says Scott Walker cut taxes for the wealthiest and raised taxes on 140,000 Wisconsin families.",housing$income$message-machine-2014$poverty$taxes,mary-burke,Madison school board member,Wisconsin,democrat,a TV ad
barely-true,"When Atlanta Police Chief George Turner was interim head of the department, overall crime fell 14 percent and violent crime dropped 22.7 percent.",crime,kasim-reed,,,democrat,a press release
mostly-true,"In 2012, there were nearly 12.2 million arrests and only 410 uses of deadly force by police in the United States.",civil-rights$criminal-justice$guns$public-safety,edward-flynn,,,none,an interview
mostly-true,"Giving the facts: 73,000 jobs created ... since 11. Do you know how many direct jobs in the auto industry? 1,800.",economy$jobs,john-kasich,"Governor of Ohio as of Jan. 10, 2011",Ohio,republican,an appearance on NBC's Meet the Press.
false,The Georgia Lottery Corp. has only once in the past 16 years paid out the agreed upon 35 percent of proceeds to the account which funds the HOPE scholarship.,education,allie-mccullen,,Georgia,none,a speech
true,Says hes signed a pledge not to raise taxes four times.,taxes,roger-williams,Businessman,Texas,republican,U.S. Senate forum.
half-true,Oregon school districts are directing 24 percent of their food budgets to purchase local foods. Thats the highest percentage in the country.,agriculture,oregon-department-agriculture,,Oregon,government-body,a news release
false,"For the past eight years, Gov. Carcieri and Mrs. Carcieri would host the lighting of the State House Christmas tree.",religion,john-depetro,Talk-show host,Rhode Island,talk-show-host,a talk-show discussion
true,"Even if you took literally every single ounce of platinum in the world, it still wouldnt add up to enough needed to pay down our nations debt.",debt,national-republican-congressional-committee,,,republican,a press release
barely-true,"U.S. Olympic medal winners will owe up to $9,000 to the IRS.",sports$taxes,americans-tax-reform,,,none,a blog post
half-true,"U.S. Sen. Johnny Isakson has never proposed, nor voted in favor of, a substantial cut in federal spending and has voted for many substantial increases in federal spending.",federal-budget,chuck-donovan,,Georgia,libertarian,a blog on his campaign website
false,"A United Nations arms treaty would almost certainly force the U.S. to create an international gun registry, setting the stage for full-scale gun confiscation.",guns$human-rights$trade,paul-broun,Congressman,Georgia,republican,a YouTube video
true,Providence has the lowest crime rate in three decades.,crime$job-accomplishments,david-cicilline,mayor of Providence,Rhode Island,democrat,a debate
mostly-true,Income disparities in the United States are the worst since the 1920s.,income$wealth,bobby-scott,U.S. Congressman,Virginia,democrat,a news release.
false,Drilling for oil on the Outer Continental Shelf and in parts of Alaska will immediately reduce our dangerous dependence on foreign oil.,economy$energy,rob-portman,U.S. senator from Ohio,Ohio,republican,an online column
extremely-false,"Im the only candidate in the Democratic primary, or actually on either side, who Wall Street financiers and hedge fund managers are actually running ads against.",elections$financial-regulation$campaign-advertising,hillary-clinton,Presidential candidate,New York,democrat,comments on Meet the Press
false,Says an appointed board created under Obamacare will have the ability to come between you and your doctor in determining the best treatment options for you!,health-care,john-carter,U.S. House of Representatives,Texas,republican,a letter to constituents.
barely-true,To abide by Environmental Protection Agency rules when mining or drilling you have to take caution not to disturb bodies of water barely bigger than a puddle.,environment$market-regulation$water,marco-rubio,U.S. Senator,Florida,republican,prepared remarks in a written speech
half-true,President Barack Obamas spending drove us $5 trillion deeper in debt.,debt$deficit$economy$federal-budget$message-machine-2012,american-crossroads,,,republican,a campaign commercial
barely-true,The city of Pembroke Pines doesnt have a vote in a plan to build a detention center in Southwest Ranches.,crime$immigration$voting-record,frank-ortis,Pembroke Pines mayor,Florida,democrat,a meeting
mostly-true,Thirteen hundred applicants in Rhode Island signed up for insurance through Obamacare.,health-care$public-health$states,sheldon-whitehouse,U.S. Senator,Rhode Island,democrat,an appearance on CNN's Crossfire.
false,"Following the catastrophic, cascading collapse of major investment banks on Wall Street in 2007.....Nobody was prosecuted, no hearings were held and no reforms were implemented.",economy$financial-regulation$occupy-wall-street,michael-doherty,,,republican,a news release
false,President Obamashealth care law is a government takeover of healthcare.,health-care$market-regulation,george-allen,consultant,Virginia,republican,a speech.
true,The Republican presidential nominee hasnt won women since 1988.,women,heather-mcghee,"President, Demos",,none,a panel discussion on Meet the Press
extremely-false,Says the Democrats told the Catholic Church that theyll use federal powers to shut down church charities and hospitals if the church doesnt change its beliefs.,health-care$religion$sexuality,ted-cruz,Senator,Texas,republican,a speech at the Conservative Political Action Conference
extremely-false,"Under current policies, were going to reduce the overall debt of the United States by $3 trillion over the next 10 years.",debt$deficit$federal-budget,richard-durbin,Senator,Illinois,democrat,an interview on Fox News Sunday
false,"Between 2008 and 2014, criminal aliens accounted for 38 percentof all murder convictions in the five states of California, Texas, Arizona, Florida and New York.",immigration,tom-tancredo,U.S. representative,Colorado,republican,a Breitbart article
half-true,"Put simply, less government spending equals more private sector jobs.",economy$federal-budget$jobs$stimulus,eric-cantor,House Majority Leader,Virginia,republican,a press release.
extremely-false,People who wash cars at home will use approximately 80 percent more water than they do in a car wash.,environment$state-budget$taxes$water,helio-melo,State Representative,Rhode Island,democrat,a House floor debate
false,"Says the money is in the budget to give a tax break to everyone, including people making more than $1 million.",state-budget$taxes,lou-greenwald,State Assemblyman,New Jersey,democrat,an interview on 6abc’s “Inside Story”
true,Says he couldnt keep a 42-inch redfish he caught because of fishing rules.,oil-spill,adam-putnam,Florida Commissioner of Agriculture,Florida,republican,a posting on Twitter
true,Americans spend 6.1 billion hours a year on tax preparation.,taxes,virginia-foxx,U.S. Representative,North Carolina,republican,in a comment on Twitter
false,"Says Democrats racked up a $1 billion state deficit, while Republicans under Bill OBrien balanced the budget.",state-budget,new-boston-republican-committee,,New Hampshire,republican,"a campaign sign in Mont Vernon, New Hampshire"
half-true,"Sen. Johnny Isakson voted for a trade agreement, with China costing Georgia 93,000 jobs.",trade,jim-barksdale,Senate Candidate,Georgia,democrat,a campaign video
barely-true,A lot of the problems with forest fires ...is because of bad policy (not to clear out the forests) that was put in place by environmentalists.,environment$natural-disasters$weather,dana-perino,Co-host on Fox News Channel's The Five,,republican,a broadcast of The Five on Fox News
barely-true,Says Scott Walker tried to pass a law to allow pharmacists to block womens access to birth control.,health-care$message-machine$women,planned-parenthood,,,none,a direct mail campaign piece
half-true,"Says that like Todd Akin, all Texas Republicans in U.S. House cosponsored a bill that attempts to distinguish between forcible rape and other sexual assaults.",crime,lone-star-project,,Washington,democrat,a political action committee report
extremely-false,Creflo Dollar has endorsed Republican Donald Trump for president.,bipartisanship,social-media,,,none,social media sites
half-true,"Our debt to GDP ratios, our deficit to GDP ratios are quickly approaching the countries we have been reading about for the last year and a half. We are not far behind Ireland, Greece, Portugal and Spain and all these countries we have been reading about.",deficit$federal-budget$trade,jim-jordan,U.S. representative,Ohio,republican,a speech to the Heritage Foundation
half-true,"If the sequester hits, hundreds of thousands of Americans will lose access to primary care and preventive care like flu vaccinations and cancer screenings.",children$federal-budget$health-care$public-health,barack-obama,President,Illinois,democrat,"a speech in Washington, D.C."
true,Virginia now is the number one exporter of (agricultural) products to Cuba. We have now jumped to number one.,economy$trade,terry-mcauliffe,Governor,Virginia,democrat,an interview
mostly-true,The top one-tenth of 1 percent now owns almost as much wealth as the bottom 90 percent.,economy$income$taxes$wealth,bernie-s,U.S. Senator,Vermont,independent,remarks at the Democratic National Convention in Philadelphia
true,"Hillary Clintons State Department sent three comedians to India on the Make Chai, Not War tour.",foreign-policy$job-accomplishments,rand-paul,Candidate for U.S. Senate and physician,Kentucky,republican,"a speech in Nashua, N.H."
barely-true,Says Scott Walker said he wouldnt touch the state civil service system but now supports overhauling it.,labor$legal-issues$state-budget$unions$workers,jon-erpenbach,"State Senator, District 27",Wisconsin,democrat,an interview
mostly-true,"Mike Pence voted against expanding the Childrens Health Insurance program, which Hillary helped to start.",federal-budget$health-care$medicaid$medicare$poverty$public-health,howard-dean,Democratic National Committee chairman,Vermont,democrat,in a speech at the Democratic National Convention
half-true,"Says Donald Trump, in his campaign announcement speech, also said, And many of them (Mexicans) are good people. You keep leaving that out of your quote.",candidates-biography$diversity$immigration,mike-pence,Governor,Indiana,republican,"the vice presidential debate in Farmville, Va."
false,Social Security is a Ponzi scheme.,social-security,rick-perry,Governor,Texas,republican,a Republican presidential debate
true,"Says that as a gubernatorial candidate, Chris Christie promised no school cuts.",education,stephen-sweeney,State Senator,,democrat,a press release
barely-true,We went from $160 billion deficit spending in (President George W.) Bushs last year to $1.6 trillion the following year.,debt$deficit$economy$federal-budget,louie-gohmert,U.S. House member,Texas,republican,an interview with Fox News
half-true,"Mayor Tom Barretts policies drove unemployment up 27 percent in Milwaukee, pushing it to one of Americas 10 worst cities for unemployment.",city-budget$economy$jobs,republican-governors-association,,"Washington, D.C.",republican,a television ad
mostly-true,DeKalb County has graduated five police academies and three fire academies to help reach its ambitious hiring goals in both departments.,county-budget$public-safety,lee-may,,Georgia,democrat,the 2015 State of the County address
half-true,Twenty million Americans are out of work.,economy$jobs,john-kasich,"Governor of Ohio as of Jan. 10, 2011",Ohio,republican,a television ad
barely-true,"A data system that goes along with Common Core is designed to collect up to 400 data points on each child, which can include personally identifiable data.",education$privacy,angela-bean,community activist,Georgia,republican,a newspaper article
false,FCAT tests account for less than 1 percent of the instructional time provided during the year.,children$corrections-and-updates$education,gerard-robinson,Florida Department of Education Commissioner,Florida,republican,a written statement
true,Jeff Greene can buy anything ... he owns two mansions.,candidates-biography$elections$message-machine,kendrick-meek,,Florida,democrat,a TV ad.
half-true,Our school test scores are right at the bottom.,education,thurbert-baker,Attorney General,Georgia,democrat,a speech
mostly-true,"A lot of what (Cubas) survival depends on is Venezuelan oil money, which is drying up.",foreign-policy,ana-navarro,CNN contributor,,republican,an interview on CNN's Anderson Cooper
true,"Under President Barack Obamas leadership, since June 2009, (the auto) industry has added a quarter of a million jobs.",jobs,bob-king,President of the UAW,Michigan,none,"a speech to the Democratic National Convention in Charlotte, N.C."
true,"In Galveston, Texas, they have allowed people to privatize part of their Social Security. And people are building wealth.",county-government$retirement$social-security$workers,ew-jackson,Pastor,Virginia,republican,a debate.
half-true,"Four balanced budgets in a row, with no new taxes for anyone. The best job growth in 12 years. Nearly 130,000 new private-sector jobs. Merit pay to reward New Jerseys best teachers, and the most education funding ever.",education$state-budget$state-finances,chris-christie,Governor of New Jersey,New Jersey,republican,a TV ad
barely-true,New energy standards will take away our freedom of choice and selection in the light bulbs we have in our homes.,energy$government-regulation,marsha-blackburn,U.S. Representative,Tennessee,republican,appearance on Fox Business Channel’s “Varney & Co.”
true,"The House-passed budget proposal could cut funding for programs that help keep local neighborhoods safe, slash more than $1.7 million in anti-terror funds for Ohio.",crime$criminal-justice$federal-budget,sherrod-brown,U.S. Senator,Ohio,democrat,
mostly-true,We are in the bottom 10 in dollars in the classroom and the top 10 in dollars in the bureaucracy and red tape.,education$government-efficiency,john-kasich,"Governor of Ohio as of Jan. 10, 2011",Ohio,republican,an interview on Fox News
true,"Once our Blueprint for Prosperity is signed into law, we will have delivered $2 billion in tax relief.",job-accomplishments$taxes,scott-walker,Milwaukee County Executive,Wisconsin,republican,a statement to reporters
false,Says Rick Scott called education not a core function of the state.,education$state-budget,florida-democratic-party,,Florida,democrat,a press release
barely-true,I deployed the Texas National Guard to the Texas-Mexico border. And the policy worked; apprehensions at the border declined 74 percent.,crime$criminal-justice$immigration,rick-perry,Governor,Texas,republican,his speech declaring his candidacy for president
false,On supporting the budget proposed by Rep. Paul Ryan,federal-budget$medicare,newt-gingrich,Co-host on CNN's Crossfire,Georgia,republican,comments in various media outlets
barely-true,Our recent state budgets have far exceeded population and inflation growth.,population$state-budget$state-finances,tom-pauken,Small business owner,Texas,republican,an oped column.
half-true,"Expanding Medicaid would require borrowing more money, drastically expanding our deficit.",debt$deficit$federal-budget$health-care$medicaid,will-weatherford,State Representative,Florida,republican,an op-ed
true,"Electric car sales in Georgia have dropped dramatically since a $5,000 tax credit was eliminated and a $200 annual registration fee was imposed July 1.",state-budget$taxes$transportation,don-francis,coordinator of the Clean Cities-Georgia Coalition,,none,an interview with Watchdog.org
mostly-true,Factories are opening their doors at the fastest pace in almost two decades.,economy,barack-obama,President,Illinois,democrat,"remarks in Clinton, Tenn."
mostly-true,The 2006 Massachusetts health care law has added (only) about 1 percent to our state budget.,health-care$state-budget$abc-news-week,deval-patrick,governor,Massachusetts,democrat,an interview on This Week with Christiane Amanpour.
mostly-true,"In Libya, America spent $2 billion total and didnt lose a single life.",military$new-hampshire-2012,joe-biden,U.S. senator,Delaware,democrat,"a talk at Plymouth State University in Plymouth, N.H."
barely-true,"Im running against a groundhog. He saw his shadow on the primary day, and no one has seen him since.",candidates-biography$energy,jeff-weems,Lawyer,Texas,democrat,a speech
true,A record number of immigrants not from Mexico are being apprehended at the border.,crime$immigration,rick-perry,Governor,Texas,republican,an interview on Fox & Friends
mostly-true,Hobby Lobby provided this (birth control) coverage before they decided to drop it to file suit.,health-care$supreme-court,sally-kohn,,,columnist,a segment on CNN
false,"We're building a nearly $40-billion natural gas pipeline, which is North America's largest and most expensive infrastructure project ever.",energy,sarah-palin,,Alaska,republican,"St. Louis, Mo."
barely-true,"For four days in Denver, the Democrats were afraid to use the words 'Islamic terrorism.'",terrorism,rudy-giuliani,Attorney,New York,republican,a speech at the Republican National Convention.
barely-true,"He leant his name to a bill, did little or nothing three years ago to try to get it passed, (and) since then has done absolutely nothing other than disavow any attempt to move on the legislation.",guns,katie-mcginty,,Pennsylvania,democrat,in an interview with The Philadelphia Inquirer
half-true,The rate of U.S. female homicide victimsoutnumbers 24 other developed countries by more than 2 to 1.,crime$guns$history$public-safety,everytown-gun-safety,Advocacy group,New York,none,a Facebook meme
true,"As president, Barack Obama has never visited Israel.",israel$message-machine-2012,mitt-romney,Former governor,Massachusetts,republican,a campaign ad
half-true,Barack Obamas recess appointment of Richard Cordray is precisely what then-Sen. Obama claimed would be the wrong thing to do.,consumer-safety,mitt-romney,Former governor,Massachusetts,republican,a news release
mostly-true,"Unlike virtually every other campaign, we dont have a super PAC.",campaign-finance,bernie-s,U.S. Senator,Vermont,independent,comments on Twitter.
mostly-true,Chris Christie has led New Jersey to a record-breaking 9 credit downgrades.,elections$pensions$state-finances,donna-brazile,Political commentator,"Washington, D.C.",democrat,a tweet
half-true,The Obama administration is cutting back on defense,military$pundits,sean-hannity,Radio/TV host,,none,an interview with Sen. John McCain on Fox News Channel
true,"The Keystone pipeline creates 35 permanent jobs after construction, according to a government report.",energy$environment,van-jones,Co-host of CNN's Crossfire,"Washington, D.C.",democrat,a segment on CNN's Crossfire
true,San Antonio is now the largest city in the United States ever to have an African American woman mayor.,city-government$history$population,henry-cisneros,Businessman,Texas,democrat,a statement after Ivy Taylor's selection as mayor of San Antonio
mostly-true,The Tampa Bay Rays prices have been judged the most affordable in all of professional sports.,baseball$economy$florida,stuart-sternberg,Tampa Bay Rays owner,Florida,none,a press statement
half-true,"Hospitals have already begun layoffs, a direct result of Republican inaction on Medicaid expansion.",health-care$medicaid$state-budget,democratic-party-virginia,,Virginia,democrat,a news release.
false,[State Rep. Doug McKillips] donors deserve a refund.,campaign-finance$elections,jane-kidd,,,democrat,press release
false,"Thirty-seven percent of Central Falls retired police officers and firefighters are out on disability pensions; in most municipalities, about 5 percent of retirees collect disability pensions.",city-budget$city-government$disability$government-efficiency$labor$public-safety$retirement$unions,stephen-lisauskas,Consultant,Massachusetts,newsmaker,a public meeting
mostly-true,"We admit about 100,000 permanent immigrants from the Middle East every year.",immigration,donald-trump,President-Elect,New York,republican,"a speech in Youngstown, Ohio"
barely-true,"Voter identification laws make it complicated and expensive to get an ID, essentially instituting a modern-day poll tax.",elections,american-civil-liberties-union,,the United States,organization,Newsletter
half-true,In the Obama economy ... the youth unemployment rate is double the unemployment rate for all Americans.,economy$jobs,mitt-romney,Former governor,Massachusetts,republican,a graphic posted on his website
half-true,"Governor (Perry), you were a Democrat, having worked for Al Gore as his campaign manager...",elections,debra-medina,Businesswoman,Texas,republican,the Republican gubernatorial debate in Denton
mostly-true,We were able to provide $428 million worth of property tax relief.,state-budget$taxes,don-gaetz,State Senator,Florida,republican,Florida Senate floor debate
barely-true,I dont think Ive ever hired an illegal in my life.,immigration,mitt-romney,Former governor,Massachusetts,republican,a Republican presidential primary debate
true,Connecticuts take on slot machines is 25 cents on the dollar. And the states take on table games: zero.,economy$gambling$state-budget$state-finances,diane-hurley,Chief executive officer of Newport Grand,Rhode Island,business-leader,an interview on 10 News Conference
mostly-true,The employer mandate affects only 5 percent of businesses in this country.,health-care$small-business,chris-van-hollen,,Maryland,democrat,an interview with Fox News
false,"The Keystone oil pipeline would employ 20,000 people in the United States.",climate-change$energy$jobs,johnny-isakson,U.S. Senator,Georgia,republican,a speech
barely-true,Says Rick Perry is a 25-year incumbent.,candidates-biography$job-accomplishments,bill-white,Former mayor of Houston,Texas,democrat,a press release
false,Says rejecting federal aid to expand Medicaid in Texas will send $9 billion in federal taxes paid by Texans to other states to insure their working poor.,health-care$medicaid$taxes,lon-burnam,State representative,Texas,democrat,a press release
false,Says Ron Johnson has essentially done nothing to fight heroin addiction and opioid abuse.,candidates-biography$drugs$homeland-security$immigration,russ-feingold,,Wisconsin,democrat,a radio ad
barely-true,Says an unchecked Democratic Majority in Trenton is responsible for years of diversions from the states unemployment insurance trust fund.,state-budget,anthony-bucco,State Senator,New Jersey,republican,a news release
half-true,"Leticia Van de Putte opposed putting National Guard troops on the border, would send millions to Central American governments instead and wrote the law giving in-state tuition to illegal immigrants.",immigration,dan-patrick,Lieutenant governor-elect,Texas,republican,a TV ad
true,American oil production is at its highest level since 2003.,energy,jim-moran,U. S. Congressman,Virginia,democrat,a press release.
true,"If you look at most of the polls, this is a margin-of-error race on Fourth of July between Mitt Romney and the president.",elections$polls,chris-christie,Governor of New Jersey,New Jersey,republican,an interview on CNBC
false,"You are three times more likely to be able to get a mortgage if youre a white applicant than if youre black or Hispanic, even if you have the same credentials.",diversity$financial-regulation$housing,hillary-clinton,Presidential candidate,New York,democrat,an MSNBC-Telemundo town hall
false,On eliminating the influence of money in policy campaigns,campaign-finance$city-government$ethics,jim-kenney,Philadelphia Mayor,Pennsylvania,democrat,
true,Iraq is costing each household about $100 a month.,iraq,barack-obama,President,Illinois,democrat,"a speech in Charleston, W.Va."
false,"Says he didnt call Dr. George Tiller a baby killer, as liberal groups charge, but was merely reporting what some prolifers branded him.",abortion$pundits,bill-oreilly,Fox News Channel host,,none,an op-ed.
half-true,"Newspapers say Florida made bad investments, lost hundreds of millions of dollars, billions in pension funds lost. Who was in charge of Floridas investments? Alex Sink.",financial-regulation$message-machine$retirement$state-budget,republican-party-florida,,,republican,a campaign ad
false,"An Obamacare slush fund paid to spay and neuter dogs and cats, then counted it as an anti-obesity campaign.",animals$corrections-and-updates$health-care$stimulus,allen-west,"U.S. representative, Florida District 22",Florida,republican,a newsletter
half-true,Says opponent Tammy Baldwin has had not one positive ad in the campaign for U.S. Senate.,elections$campaign-advertising,tommy-thompson,,Wisconsin,republican,a Milwaukee Press Club appearance
mostly-true,Marco Rubios economic proposals will add $3.5 trillion to the federal deficit.,bush-administration$federal-budget$pundits$taxes,rachel-maddow,MSNBC host,,none,comments on her MSNBC show.
extremely-false,Lindsey Graham endorsed Charlie Crist for U.S. Senate.,elections,blog-posting,,,none,postings on Twitter
extremely-false,Obama's Ten Point Plan to 'Change' the Second AmendmentBan use of firearms for home defense.,guns,national-rifle-association,,,none,direct mail piece
mostly-true,Corporate taxes will soon be the highest in the industrialized world.,corporations$taxes,marco-rubio,U.S. Senator,Florida,republican,a “Wall Street Journal” op-ed
false,Says Ted Strickland admits his record on jobs and taxes is mixed and spotty.,job-accomplishments$state-finances$voting-record,fighting-ohio-pac,,Ohio,republican,Fighting for Ohio PAC ad
barely-true,Gov. Romney cut off kosher meals for Jewish senior citizens who were on Medicaid to save $5 a day.,medicaid$religion$retirement,newt-gingrich,Co-host on CNN's Crossfire,Georgia,republican,"a speech in Tampa, Fla."
half-true,The DNC says McCain flip-flopped on whether the Iraq War would be easy.,iraq,democratic-national-committee,,,none,a Web video.
mostly-true,"On Lee Fishers watch, almost nine out of 10 jobs that Ohio lost were lost to other states, not to other countries.",economy,rob-portman,U.S. senator from Ohio,Ohio,republican,an appearance at The Plain Dealer
